file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,showInstallButton/0,false,474,0,3,3,0,1,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,onConfigurationChanged/1[com.xuexiang.xupdate.widget.Configuration],false,548,3,1,0,1,2,2,7,0,0,1,2,1,6,0,1,0,0,0,0,1,0,1,0,0,0,10,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,"onRequestPermissionsResult/3[int,java.lang.String[],int[]]",false,370,4,3,0,3,4,4,12,0,0,3,4,2,3,0,2,0,0,0,2,0,0,2,0,0,0,29,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,refreshUpdateButton/0,false,462,3,6,2,4,3,5,9,0,0,0,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,onClick/1[com.xuexiang.xupdate.widget.View],false,339,5,7,0,7,9,11,28,0,2,1,11,2,3,0,7,0,0,0,0,2,0,2,0,0,0,22,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,handleCompleted/1[java.io.File],false,435,2,3,0,3,3,5,12,1,0,1,5,2,2,0,0,0,0,0,0,0,0,2,0,0,0,10,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,show/1[com.xuexiang.xupdate.widget.FragmentManager],false,525,2,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,initListeners/0,false,331,0,1,1,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,showUpdateButton/0,false,485,0,1,1,0,1,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,onCreate/1[com.xuexiang.xupdate.widget.Bundle],false,148,4,2,0,2,1,6,6,0,0,1,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,false
